name	type	id	expiration_type	expiration_custom_days	allocation_type	description	enabled	merchandising_syntax	report_suite
Campaign ID (Tracking Code)	text_string	trackingcode	month	1	most_recent_last				sirooplive
Event/Component Category (V1)	text_string	evar1	page_view	1	most_recent_last	"The main category or component an Interaction belongs to, e.g. ""Suggested Search"", ""Filter"", etc..."	TRUE		sirooplive
Event Action/Cause (V2)	text_string	evar2	page_view	1	most_recent_last	What is causing an Event (e.g. a click on a suggested search result) - sometimes also simply used to further detail an Event (to remain aligned with GA)	TRUE		sirooplive
Event Label (V3)	text_string	evar3	page_view	1	most_recent_last	A readable description of an Event - sometimes also simply used to further detail an Event (to remain aligned with GA)	TRUE		sirooplive
Event/Component Sub-Category1 (V4)	text_string	evar4	page_view	1	most_recent_last	A variable to detail an interaction with a component. The meaning depends on the Component/Event Category.	TRUE		sirooplive
Component Aspect 1 (V5)	text_string	evar5	page_view	1	most_recent_last	A variable to detail an interaction with a component. The meaning depends on the Component/Event Category.	TRUE		sirooplive
Component Aspect 2 (V6)	text_string	evar6	page_view	1	most_recent_last	A variable to detail an interaction with a component. The meaning depends on the Component/Event Category.	TRUE		sirooplive
Component ID (V7)	text_string	evar7	page_view	1	most_recent_last	"Allows to distinguish several instances of the same component on one page (e.g. several teaser boxes on the homepage)	"	TRUE		sirooplive
Component Location (V8)	text_string	evar8	page_view	1	most_recent_last	Location where an interaction with a component happened (e.g. footer, header etc.)	TRUE		sirooplive
Component Inner Location (V9)	text_string	evar9	page_view	1	most_recent_last	The location inside of a component where an interaction happened (e.g. the position of a teaser within a teaser grid component)	TRUE		sirooplive
Net Promoter Score Raw (V10) - User	text_string	evar10	never	1	most_recent_last	Net Promoter Score Raw	TRUE		sirooplive
User Purchase History (V11)	text_string	evar11	never	1	most_recent_last	Purchase History of a User (to identify Repeat Buyers)	TRUE		sirooplive
Content Language (V12)	text_string	evar12	page_view	1	most_recent_last	Language of the current Page's content (can be manually chosen by the user)	TRUE		sirooplive
Internal Search - Clicked Result Position (V13)	text_string	evar13	page_view	1	most_recent_last	The Position the internal Search Result had which was clicked	TRUE		sirooplive
Internal Search Result Count (V14)	text_string	evar14	page_view	1	most_recent_last	Number of Results in the Internal Search	TRUE		sirooplive
Internal Search Term (V15)	text_string	evar15	purchase	1	linear	Expires after purchase - linear allocation to show all search terms a user used until purchase happened	TRUE		sirooplive
Custom eVar 16	text_string	evar16	visit	1	most_recent_last		FALSE		sirooplive
Page Title (V17)	text_string	evar17	page_view	1	most_recent_last	The HTML Page Title (shortened to 100 chars)	TRUE		sirooplive
Site Section (V18)	text_string	evar18	page_view	1	most_recent_last	Site Section as eVar (to be able to use it in any report where V-Variables are needed) - available since 1/28/2016	TRUE		sirooplive
Clean URL (V19)	text_string	evar19	page_view	1	most_recent_last	URL cleaned from typical URL parameters like utm_source, gclid, j_con etc. as well as the hash (#...). For the entire URL, see Full URL (V20).	TRUE		sirooplive
Full URL (V20) - debugging	text_string	evar20	page_view	1	most_recent_last	Full Actual URL with all Query String Parameters, no lowercasing, and hash (#). Used for debugging mostly. For Reporting, use V19 - Clean URL	TRUE		sirooplive
URL Hostname (V21)	text_string	evar21	page_view	1	most_recent_last		TRUE		sirooplive
URL Pathname (V22)	text_string	evar22	page_view	1	most_recent_last		TRUE		sirooplive
Full URL Query String (V23)	text_string	evar23	page_view	1	most_recent_last		TRUE		sirooplive
URL Pathname + Clean Query String (V24)	text_string	evar24	page_view	1	most_recent_last	A copy of the PageName when = Pathname plus Query String cleaned from typical URL parameters like utm_source, gclid, j_con etc...	TRUE		sirooplive
URL Hash (V25)	text_string	evar25	page_view	1	most_recent_last		TRUE		sirooplive
Referrer of Current Page (V26)	text_string	evar26	page_view	1	most_recent_last		TRUE		sirooplive
Clean URL Query String (V27)	text_string	evar27	page_view	1	most_recent_last	The Query String cleaned from typical URL parameters like utm_source, gclid, j_con etc... For the entire query string, see Full URL Query String (V23).	TRUE		sirooplive
Event:Path+Clean QueryStr (V28)	text_string	evar28	page_view	1	most_recent_last	"Shows the Event Type (Event Category/""P"" for Pageview) plus Pathname+Query String for any Hit (Pageview or Event) and thus allows Pathing for Event and Pageview Hits
"	TRUE		sirooplive
Event:Pathname (V29)	text_string	evar29	page_view	1	most_recent_last	"Shows the Event Type (Event Category/""P"" for Pageview) plus Pathname for any Hit (Pageview or Event) and thus allows Pathing for Event and Pageview Hits."	TRUE		sirooplive
Siroop ID (Unique Customer ID, ucid) (V30)	text_string	evar30	never	1	most_recent_last	"Starting with resiroop (early 2018), this is the unique Customer Identifier
(used to be Report Suite ID until July 2017)"	TRUE		sirooplive
Device Viewport (V31)	text_string	evar31	page_view	1	most_recent_last	"Device Type, induced from the User's viewport (e.g. when I view a browser tab very small on a Desktop, the Device Viewport will be ""mobile"" anyway."	TRUE		sirooplive
Weekday (V32)	text_string	evar32	page_view	1	most_recent_last	Day of the Week from Sunday to Saturday (1=Sunday, 7=Saturday). Available since 1/29/2016	TRUE		sirooplive
Date (YYYYMMDD) (V33)	text_string	evar33	page_view	1	most_recent_last	Full Date in format YYYMMDD - available since April 22, 2016	TRUE		sirooplive
Registered User (User) (V34)	text_string	evar34	never	1	most_recent_last	y = User with this device ID Cookie has registered in the past (has had a Registered User ID Cookie at least once)	TRUE		sirooplive
Client ID (V35) - formerly Device ID	text_string	evar35	never	1	most_recent_last	"The value of the Client ID Cookie (general User Cookie), earlier called ""Device ID""."	TRUE		sirooplive
Reg. User ID (User) (V36)	text_string	evar36	never	1	most_recent_last	"The value of the Reg. User ID Cookie ""siroid"""	TRUE		sirooplive
Login Status (Hit) (V37)	text_string	evar37	page_view	1	most_recent_last	y = user was logged in during this hit, n = user was not logged in	TRUE		sirooplive
Payment Type of Completed Order (V38)	text_string	evar38	purchase	1	most_recent_last	Payment Type of an Order, tracked when order is completed only	TRUE		sirooplive
Refund Reason (V39)	text_string	evar39	page_view	1	merchandising_last	The reason why a transaction or a product were refunded (e.g. Cancellation or Refund)	TRUE	product	sirooplive
Transaction ID (V40)	text_string	evar40	purchase	1	most_recent_last		TRUE		sirooplive
Merchant as shown on site (V41-Merch)	text_string	evar41	page_view	1	merchandising_last	The Merchant name that the user sees on the site (no White-Label Merchants)	TRUE	product	sirooplive
Prod Category Lvl1 (V42-Merch)	text_string	evar42	page_view	1	merchandising_last		TRUE	product	sirooplive
Prod Category Lvl2 (V43-Merch)	text_string	evar43	page_view	1	merchandising_last		TRUE	product	sirooplive
Prod Category Lvl3 (V44-Merch)	text_string	evar44	page_view	1	merchandising_last		TRUE	product	sirooplive
Prod Brand (V45-Merch)	text_string	evar45	page_view	1	merchandising_last		TRUE	product	sirooplive
Prod Name (V46-Merch)	text_string	evar46	page_view	1	merchandising_last	Product Name (cut to the first 99 characters to avoid requests being cut off)	TRUE	product	sirooplive
Prod Price during Hit (V47-Merch)	text_string	evar47	page_view	1	merchandising_last	"New since Nov 2017: the price of a product during the current hit (e.g. the cart add, pdp view, cart view etc.)

earlier: The Variant String of the Product (-1, -2 etc.) was not used anymore after Prod Variants Go-Live (Oct 2016)"	TRUE	product	sirooplive
Prod Position (V48-Merch)	text_string	evar48	page_view	1	merchandising_last	Position of a Product in a List	TRUE	product	sirooplive
Prod Delivery (V49-Merch)	text_string	evar49	purchase	1	merchandising_last	The delivery method chosen for a product	TRUE	product	sirooplive
Cart Value (V50)	text_string	evar50	purchase	1	most_recent_last	Value in the shopping cart (since 3/7/2016)	TRUE		sirooplive
Prod Concrete ID (V51)	text_string	evar51	page_view	1	merchandising_last	The ID of a fully configured product (e.g. iPhone 6S with 64GB)	TRUE	product	sirooplive
Prod Group ID (V52-Merch)	text_string	evar52	page_view	1	merchandising_last	"The Group ID of the Group that a Product can belong to (e.g. all iPhone 6S in all colors belong to group ""iPhone 6S"")"	TRUE	product	sirooplive
Merchant ID (V53-Merch)	text_string	evar53	page_view	1	merchandising_last	Merchant ID - available since Variants go live (mid-October 2016)	TRUE	product	sirooplive
Products in Cart (V54)	counter	evar54	page_view	1	most_recent_last		TRUE		sirooplive
Product Display Context (V55-Merch)	text_string	evar55	purchase	1	merchandising_last	Name of the Product Context (list name, cart, detail etc.) in which a Product was viewed or clicked	TRUE	product	sirooplive
Prod Voucher Code: Descr (V56-Merch)	text_string	evar56	purchase	1	merchandising_last	"Product Voucher Code: Descr (Discount, ""Coupon Code"")"	TRUE	product	sirooplive
Prod In Stock (V57)	text_string	evar57	purchase	1	merchandising_last	"Know if a product on PDP was out of stock or is low. Tracking starts 2016-12 (CC-131). 
Values:
>=5 : if 5 or more items available
<5 : if less than 5"	FALSE	product	sirooplive
Prod Ad Label (V58)	text_string	evar58	page_view	1	merchandising_last	"Product sales label (e.g. ""Topsellers"", ""PriceDrop""). Tracking starts 2016-12 (CC-95)"	TRUE	product	sirooplive
ProductsUp Ad Label String (V59)	text_string	evar59	page_view	1	merchandising_last	String of temporary Product Attributes as transmitted from ProductsUp via Data Layer Enrichment Extension in Tealium	TRUE	product	sirooplive
User ZIP Code (V60)	text_string	evar60	never	1	most_recent_last	User Zip Code. Is gathered in Checkout.	TRUE		sirooplive
User Gender (V61)	text_string	evar61	never	1	most_recent_last	User Gender. Is gathered in Checkout.	TRUE		sirooplive
User Age (V62)	text_string	evar62	never	1	most_recent_last	User Age. Is gathered in Checkout.	TRUE		sirooplive
User Email (Encrypted) (V63)	text_string	evar63	quarter	1	most_recent_last	Encrypted Email of user as gathered in checkout.	TRUE		sirooplive
Cart ID (V64)	text_string	evar64	purchase	1	most_recent_last	Persistent ID of a shopping cart	TRUE		sirooplive
Mktg Touchpoint - last (V65)	text_string	evar65	month	1	most_recent_last	The last Marketing Touchpoint	TRUE		sirooplive
Mktg Touchpoint Path (V66)	text_string	evar66	month	1	most_recent_last	Up to 8 Marketing Touchpoints in one string. The newest touchpoint is to the left.	TRUE		sirooplive
Mkt Granular Touchpoint - last (V67)	text_string	evar67	month	1	most_recent_last	"The last Marketing Touchpoint in granular form. ""Granular"" means: AdWords Touchpoint plus AdW Campaign ID OR utm_campaign OR Hostname of Referrer for Organic Search/Referral:"	TRUE		sirooplive
