id	name	description	type	default_metric	participation	serialization	polarity	visibility
event1	Server Call Counter (E1)	"Counts every Server Call (Event plus Pageview Hits)
"	counter_no_subrelations	FALSE	disabled	always_record	positive	everywhere
event2	Page View Counter (E2)	Counts every Pageview Hit	counter_no_subrelations	FALSE	disabled	always_record	positive	everywhere
event3	Checkout Step: Payment (E3)	Counts when user reaches the Payment Step in the Checkout	counter	FALSE	disabled	always_record	positive	everywhere
event4	Checkout Step: Overview (E4)	Counts when user reaches the Order Overview Step in the Checkout (final step before order confirmation)	counter	FALSE	disabled	always_record	positive	everywhere
event5	Custom 5		disabled	FALSE	disabled	always_record	positive	everywhere
event6	Fast Checkout (E6)	Counts Hits when a user is in a fast checkout	counter	FALSE	disabled	always_record	positive	everywhere
event7	Order Commission (E7)	Commission of the Order	disabled	FALSE	disabled	always_record	positive	everywhere
event8	Product Commission (E8)	Commission per Purchase per Product	currency	FALSE	disabled	always_record	positive	everywhere
event9	Repeat Orders (E9)	Counts on a purchase if a user has bought already in the past (determined by a cookie)	counter	FALSE	disabled	always_record	positive	everywhere
event10	Order Tax (E10)	The overall tax sum of a purchase	currency	FALSE	disabled	always_record	positive	everywhere
event11	Order Shipping (E11)	The overall shipping sum of a purchase	currency	FALSE	disabled	always_record	positive	everywhere
event12	Product Revenue with Discount (E12)	The revenue made with vouchers on product level	currency	FALSE	disabled	always_record	positive	everywhere
event13	Order Voucher Discount (E13)	Voucher Tracking: Discount in CHF of Order	currency	FALSE	disabled	always_record	negative	everywhere
event14	Product Voucher Discount (E14)	Voucher Tracking: Discount in CHF of Product (Tax without vouchers)	currency	FALSE	disabled	always_record	negative	everywhere
event15	Order Discounted Tax (E15)	The overall discounted tax sum of a purchase	currency	FALSE	disabled	always_record	negative	everywhere
event16	Int. Stand. Search Result Clicked (E16)	Counts the clicks on internal standard search results (not suggested search)	counter	FALSE	enabled	always_record	positive	everywhere
event17	Active Stand. Search Started (E17)	Counts every time the internal (not suggested) search is started by clicking on the Search button	counter	FALSE	enabled	always_record	positive	everywhere
event18	Sugg. Search Result Clicked (E18)	Counts every time an internal suggested search result is clicked.	counter	FALSE	enabled	always_record	positive	everywhere
event19	Stand. Search started from Sugg. Search (E19)	"Counts when the standard search is started even though the user saw search result previews in the suggested search (user clicked ""show all"" or the search button)"	counter	FALSE	enabled	always_record	positive	everywhere
event20	Registration (any form) (E20)	Counts any Registration attempt no matter where (checkout or account)	counter	FALSE	disabled	always_record	positive	everywhere
